date,food name,Ingredients,Nutrition,nutrition value
2021-07-07,Biriyani,"protein:,,,carbohydrates:,,,dietary fiber:,,,sugars:,,,fat:,,,saturated fat:,,,cholesterol:,,,vitamin a iu:,,,niacin equivalents:,,,vitamin b6:,,,vitamin c:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,,thiamin:,,,calories from fat:,,","protein:,,,carbohydrates:,,,dietary fiber:,,,sugars:,,,fat:,,,saturated fat:,,,cholesterol:,,,vitamin a iu:,,,niacin equivalents:,,,vitamin b6:,,,vitamin c:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,,thiamin:,,,calories from fat:,,","33 %,18 %,7 %,17 %,13 %,10 %,8 %,56 %,22 %,38 %,30 %,5 %,18 %,15 %,7 %,2 %,37 %"
2021-07-07,Chicken Biryani,"protein:,,,carbohydrates:,,,dietary fiber:,,,sugars:,,,fat:,,,saturated fat:,,,cholesterol:,,,vitamin a iu:,,,niacin equivalents:,,,vitamin b6:,,,vitamin c:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,,thiamin:,,,calories from fat:,,","protein:,,,carbohydrates:,,,dietary fiber:,,,sugars:,,,fat:,,,saturated fat:,,,cholesterol:,,,vitamin a iu:,,,niacin equivalents:,,,vitamin b6:,,,vitamin c:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,,thiamin:,,,calories from fat:,,","96 %,26 %,20 %,54 %,40 %,45 %,11 %,206 %,85 %,49 %,11 %,7 %,20 %,29 %,29 %,61 %,26 %"
2021-07-07,Spicy Pakistani Zucchini,"protein:,,,carbohydrates:,,,dietary fiber:,,,sugars:,,,fat:,,,saturated fat:,,,cholesterol:,,,vitamin a iu:,,,niacin equivalents:,,,vitamin b6:,,,vitamin c:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,,thiamin:,,,calories from fat:,,","protein:,,,carbohydrates:,,,dietary fiber:,,,sugars:,,,fat:,,,saturated fat:,,,cholesterol:,,,vitamin a iu:,,,niacin equivalents:,,,vitamin b6:,,,vitamin c:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,,thiamin:,,,calories from fat:,,","11 %,8 %,24 %,22 %,12 %,34 %,23 %,22 %,64 %,15 %,9 %,16 %,27 %,26 %,28 %,12 %"
2021-07-07,IndoCook's Indonesian-Style Ketchup,"protein:,,,carbohydrates:,,,dietary fiber:,,,sugars:,,,niacin equivalents:,,,vitamin b6:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,,calories from fat:,,","protein:,,,carbohydrates:,,,dietary fiber:,,,sugars:,,,niacin equivalents:,,,vitamin b6:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,,calories from fat:,,","1 %,2 %,3 %,4 %,2 %,3 %,8 %,4 %,19 %"
2021-07-07,Java Style Beef Sate,"protein:,,,carbohydrates:,,,dietary fiber:,,,sugars:,,,fat:,,,saturated fat:,,,cholesterol:,,,vitamin a iu:,,,niacin equivalents:,,,vitamin b6:,,,vitamin c:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,,thiamin:,,,calories from fat:,,","protein:,,,carbohydrates:,,,dietary fiber:,,,sugars:,,,fat:,,,saturated fat:,,,cholesterol:,,,vitamin a iu:,,,niacin equivalents:,,,vitamin b6:,,,vitamin c:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,,thiamin:,,,calories from fat:,,","45 %,6 %,11 %,46 %,36 %,20 %,16 %,62 %,47 %,116 %,8 %,6 %,21 %,23 %,17 %,55 %,35 %"
2021-07-07,Beef Rendang,"protein:,,,carbohydrates:,,,dietary fiber:,,,sugars:,,,fat:,,,saturated fat:,,,cholesterol:,,,vitamin a iu:,,,niacin equivalents:,,,vitamin b6:,,,vitamin c:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,,thiamin:,,,calories from fat:,,","protein:,,,carbohydrates:,,,dietary fiber:,,,sugars:,,,fat:,,,saturated fat:,,,cholesterol:,,,vitamin a iu:,,,niacin equivalents:,,,vitamin b6:,,,vitamin c:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,,thiamin:,,,calories from fat:,,","95 %,11 %,8 %,58 %,78 %,37 %,14 %,137 %,78 %,37 %,10 %,10 %,90 %,33 %,26 %,40 %,24 %"
2021-07-07,Spicy Eggplant (Terong Balado),"protein:,,,carbohydrates:,,,dietary fiber:,,,sugars:,,,fat:,,,saturated fat:,,,vitamin a iu:,,,niacin equivalents:,,,vitamin b6:,,,vitamin c:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,,thiamin:,,,calories from fat:,,","protein:,,,carbohydrates:,,,dietary fiber:,,,sugars:,,,fat:,,,saturated fat:,,,vitamin a iu:,,,niacin equivalents:,,,vitamin b6:,,,vitamin c:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,,thiamin:,,,calories from fat:,,","9 %,9 %,43 %,28 %,14 %,15 %,26 %,36 %,152 %,20 %,4 %,8 %,20 %,25 %,24 %,21 %"
2021-07-07,Opor Ayam (Chicken in Coconut Milk),"protein:,,,carbohydrates:,,,dietary fiber:,,,sugars:,,,fat:,,,saturated fat:,,,cholesterol:,,,vitamin a iu:,,,niacin equivalents:,,,vitamin b6:,,,vitamin c:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,,thiamin:,,,calories from fat:,,","protein:,,,carbohydrates:,,,dietary fiber:,,,sugars:,,,fat:,,,saturated fat:,,,cholesterol:,,,vitamin a iu:,,,niacin equivalents:,,,vitamin b6:,,,vitamin c:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,,thiamin:,,,calories from fat:,,","34 %,6 %,8 %,71 %,140 %,13 %,16 %,54 %,21 %,10 %,10 %,6 %,33 %,30 %,16 %,17 %,11 %"
2021-07-07,Kek Lapis Indonesia (Indonesian Layer Cake),"protein:,,,carbohydrates:,,,dietary fiber:,,,sugars:,,,fat:,,,saturated fat:,,,cholesterol:,,,vitamin a iu:,,,niacin equivalents:,,,vitamin b6:,,,vitamin c:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,,thiamin:,,,calories from fat:,,","protein:,,,carbohydrates:,,,dietary fiber:,,,sugars:,,,fat:,,,saturated fat:,,,cholesterol:,,,vitamin a iu:,,,niacin equivalents:,,,vitamin b6:,,,vitamin c:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,,thiamin:,,,calories from fat:,,","16 %,11 %,2 %,68 %,130 %,149 %,31 %,18 %,7 %,17 %,5 %,8 %,3 %,2 %,12 %,15 %"
2021-07-07,Jemput Jumput (Banana Fritters),"protein:,,,carbohydrates:,,,dietary fiber:,,,sugars:,,,fat:,,,saturated fat:,,,vitamin a iu:,,,niacin equivalents:,,,vitamin b6:,,,vitamin c:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,,thiamin:,,,calories from fat:,,","protein:,,,carbohydrates:,,,dietary fiber:,,,sugars:,,,fat:,,,saturated fat:,,,vitamin a iu:,,,niacin equivalents:,,,vitamin b6:,,,vitamin c:,,,folate:,,,calcium:,,,iron:,,,magnesium:,,,potassium:,,,sodium:,,,thiamin:,,,calories from fat:,,","2 %,5 %,5 %,76 %,32 %,1 %,5 %,9 %,6 %,4 %,2 %,2 %,4 %,4 %,1 %,5 %"
