date,food name,text
2021-07-07,wintermelon chicken broth soup,wintermelon chicken broth soup
2021-07-07,paper wrap chicken,paper wrap chicken
2021-07-07,green vege,green vege
2021-07-07,tofu with shrimp,tofu with shrimp
2021-07-07,black bean chicken feet soup,black bean chicken feet soup
2021-07-07,basil minc pork,basil minc pork
2021-07-07,green vege,green vege
2021-07-07,brai beancurd with tau kee,brai beancurd with tau kee
2021-07-07,black bean chicken feet soup,black bean chicken feet soup
2021-07-07,brai chicken with bitter gourd,brai chicken with bitter gourd
2021-07-07,green vege,green vege
2021-07-07,sambal fishbal,sambal fishbal
2021-07-07,old cucumb soup,old cucumb soup
2021-07-07,salt egg fish,salt egg fish
2021-07-07,green vege,green vege
2021-07-07,hotplat style beancurd,hotplat style beancurd
2021-07-07,old cucumb soup,old cucumb soup
2021-07-07,stir-fri black pepper pork,stir-fri black pepper pork
2021-07-07,green vege,green vege
2021-07-07,golden fri gyoza,golden fri gyoza
2021-07-07,huai shan chicken soup,huai shan chicken soup
2021-07-07,steam chicken with ginger & wolfberri,steam chicken with ginger & wolfberri
2021-07-07,green vege,green vege
2021-07-07,steam beancurd with chaipo,steam beancurd with chaipo
2021-07-07,huai shan chicken soup,huai shan chicken soup
2021-07-07,stir fri huai shan with shred pork,stir fri huai shan with shred pork
2021-07-07,green vege,green vege
2021-07-07,bread scallop,bread scallop
2021-07-07,watercress soup,watercress soup
2021-07-07,curri chicken,curri chicken
2021-07-07,green vege,green vege
2021-07-07,stir fri potato with shrimp,stir fri potato with shrimp
2021-07-07,watercress soup,watercress soup
2021-07-07,bbq chicken,bbq chicken
2021-07-07,green vege,green vege
2021-07-07,ham & mushroom egg,ham & mushroom egg
2021-07-07,minestron soup,minestron soup
2021-07-07,sweet & sour fish,sweet & sour fish
2021-07-07,green vege,green vege
2021-07-07,brai egg tofu with minc meat,brai egg tofu with minc meat
2021-07-07,minestron soup,minestron soup
2021-07-07,brai prawn with potato,brai prawn with potato
2021-07-07,steam fish with black bean sauc,steam fish with black bean sauc
2021-07-07,green vege,green vege
2021-07-07,golden fri chicken with mayo & dust with nori seaweed/ furaikak,golden fri chicken with mayo & dust with nori seaweed/ furaikak
2021-07-07,salt veget with tofu soup,salt veget with tofu soup
2021-07-07,brai chicken with mushroom & carrot,brai chicken with mushroom & carrot
2021-07-07,green vege,green vege
2021-07-07,mock char siew egg,mock char siew egg
2021-07-07,salt veget with tofu soup,salt veget with tofu soup
2021-07-07,brai duck,brai duck
2021-07-07,green vege,green vege
2021-07-07,fri spring roll,fri spring roll
2021-07-07,white radish soup,white radish soup
2021-07-07,brai mustard green with roast pork,brai mustard green with roast pork
2021-07-07,green vege,green vege
2021-07-07,pandan chicken,pandan chicken
2021-07-07,white radish soup,white radish soup
2021-07-07,honey lemon fish,honey lemon fish
2021-07-07,green vege,green vege
2021-07-07,minc meat with egg,minc meat with egg
2021-07-07,sze chuan veget soup,sze chuan veget soup
2021-07-07,gongpao chicken,gongpao chicken
2021-07-07,green vege,green vege
2021-07-07,crispi prawn roll,crispi prawn roll
2021-07-07,sze chuan veget soup,sze chuan veget soup
2021-07-07,green vege,green vege
2021-07-07,stir fri minc pork with potato cube,stir fri minc pork with potato cube
2021-07-07,green papaya chicken broth soup,green papaya chicken broth soup
2021-07-07,roast chicken,roast chicken
2021-07-07,green vege,green vege
2021-07-07,steam beancurd with crab bite,steam beancurd with crab bite
2021-07-07,green papaya chicken broth soup,green papaya chicken broth soup
2021-07-07,prawn past chicken,prawn past chicken
2021-07-07,green vege,green vege
2021-07-07,fishbal with capsicum in tomato past,fishbal with capsicum in tomato past
2021-07-07,clear chicken soup with mushroom,clear chicken soup with mushroom
2021-07-07,bake fish with sambal,bake fish with sambal
2021-07-07,green vege,green vege
2021-07-07,chine steam egg,chine steam egg
2021-07-07,clear chicken soup with mushroom,clear chicken soup with mushroom
2021-07-07,stir fri pork with spring onion & ginger,stir fri pork with spring onion & ginger
2021-07-07,green vege,green vege
2021-07-07,golden fri shrimp,golden fri shrimp
2021-07-07,bittergourd with egg soup,bittergourd with egg soup
